Lelonek,0,45,Podstawowe,FB,71229.83
Petryk,0,22,Premium,SC,33248.49
Garczyk,1,30,Podstawowe,PP,66479.4
Lament,1,11,Premium,AI,25344.66
Patalas,1,4,Rozszerzone,AI,8356.24
Seweryniak,1,1,Podstawowe,SC,2317.49
Malcher,3,1,Rozszerzone,BB,49763.11
Sadowy,4,9,Podstawowe,BB,43424.91
Patrzałek,4,1,Podstawowe,BB,4783.33
Wielgo,4,2,Premium,HB,9907.46
Trybała,4,1,Podstawowe,OV,4614.24
Fidler,8,3,Rozszerzone,SC,34059.4
Roda,8,1,Premium,AI,11081.95
Widłak,8,1,Podstawowe,BB,11267.46
Loska,9,1,Rozszerzone,HB,15461.14
Bubel,9,3,Premium,BB,47096.55
Ułanowicz,10,6,Premium,BB,45420.39
Kasica,10,1,Rozszerzone,AI,7659.84
Dworniczak,13,1,Rozszerzone,BB,66081.38
Szyc,14,6,Premium,SC,64587.63
Becker,14,1,Premium,FB,10714.19
Szłapka,15,1,Podstawowe,AI,63920.39
Butrym,16,2,Podstawowe,AI,43208.81
Śleziak,16,1,Rozszerzone,BB,21480.78
Sieg,17,16,Premium,PP,63346.48
Juras,17,1,Premium,BB,3821.45
Łągiewka,17,2,Rozszerzone,PP,7399.77
Kazior,17,1,Rozszerzone,PP,3781.17
Dobosiewicz,17,1,Premium,OV,4030.67
Zdancewicz,18,3,Podstawowe,SC,42355.46
Kuder,19,11,Rozszerzone,OV,65932.13
Szlaga,19,1,Rozszerzone,BB,6205.04
